Ln-nm	Absorption
5.698862038	0.992656181
5.699048753	0.992439713
5.699230195	0.992227448
5.699405778	0.992021487
5.699575306	0.991820431
5.699738585	0.991626379
5.699895222	0.991438633
5.700045024	0.991258593
5.7001876	0.991086259
5.700387206	0.99084317
5.700625678	0.990550342
5.700830166	0.990297445
5.700998327	0.990087281
5.701128012	0.989924054
5.701245002	0.989775538
5.701268049	0.989746115
5.716275003	0.92567142
5.732220221	0.836393199
5.741130606	0.775735765
5.757075628	0.679623022
5.765048139	0.642032451
5.774896593	0.59803469
5.7880278	0.545065743
5.806786638	0.501067982
5.829766299	0.45706952
5.857435718	0.416061687
5.896829337	0.365228704
5.944664405	0.307988531
6.007975754	0.245195133
6.06284546	0.199488041
6.120060045	0.158907541
6.175867624	0.127297527
6.199316221	0.117045043
6.213385497	0.109356556
6.225109893	0.108928523
6.23589622	0.100812002
6.269193076	0.084579662
6.302959259	0.075181844
6.336725051	0.064075396
6.360642585	0.058522171
6.368146355	0.053823612
6.370959976	0.056813541
6.377056545	0.081162401
6.383622246	0.086715625
6.391594757	0.079881103
6.393001567	0.063648063
6.397691131	0.054250945
6.409884464	0.040154568
6.437084946	0.038020006
6.445995331	0.04998042
6.448808951	0.04998042
6.453967647	0.040582602
6.465223106	0.040154568
6.470850738	0.057240873
6.47788518	0.058950905
6.488202571	0.044427195
6.496644214	0.032039449
6.507899479	0.025631559
6.518685806	0.025203526
6.524782375	0.029902085
6.527127449	0.078172473
6.529941265	0.099957337
6.533224018	0.125587495
6.536506771	0.125159462
6.540727593	0.09397678
6.549169041	0.072618548
6.5604245	0.05510421
6.568397012	0.052969647
6.57308677	0.061940133
6.57449358	0.188381593
6.574962517	0.11661701
6.584341839	0.198633376
6.589031597	0.196924045
6.59231435	0.180264372
6.592783482	0.136693243
6.597473241	0.120888236
6.598880051	0.059376136
6.605914494	0.030328717
6.60638343	0.054677577
6.612011062	0.022212897
6.621390579	0.020078335
6.625142269	0.056386908
6.625151839	0.05638831
6.625199495	0.056396716
6.625252228	0.056406524
6.625320196	0.056421235
6.625380546	0.056435246
6.625424881	0.056445754
6.625472536	0.056458364
6.625523317	0.056472375
6.625577027	0.056487787
6.625633276	0.056505301
6.625692454	0.056523515
6.625753977	0.056544531
6.625818038	0.056566949
6.625884052	0.056590767
6.625952411	0.056617388
6.626022526	0.05664541
6.626094595	0.056675533
6.626168227	0.056708459
6.626243616	0.056742786
6.626320177	0.056779915
6.62639791	0.056819846
6.62647701	0.056861178
6.626556892	0.056906013
6.62663775	0.056952949
6.626698686	0.056989378
6.626739506	0.057015298
6.626780521	0.057041218
6.626821731	0.057067839
6.626862941	0.057095861
6.626904151	0.057123882
6.626945557	0.057152605
6.626986962	0.057182728
6.627018212	0.123452232
6.627028368	0.057212852
6.627044383	0.122789516
6.627069773	0.057244376
6.627111179	0.057275901
6.627152584	0.057308826
6.627170357	0.119569809
6.62719399	0.057342453
6.6272352	0.057376079
6.62727641	0.057411106
6.627300824	0.116184073
6.62731762	0.057446834
6.627358635	0.057483963
6.627399455	0.057521092
6.627417814	0.11311218
6.627440079	0.057559622
6.627480703	0.057598152
6.627503164	0.110850119
6.627521132	0.057638083
6.62756117	0.057678714
6.627593396	0.108440943
6.627601209	0.057720747
6.627640856	0.05776278
6.627680309	0.057806214
6.62768734	0.105906369
6.627719566	0.057850348
6.627758432	0.057895884
6.627784213	0.103266013
6.627796908	0.057941419
6.627835189	0.057988356
6.627873079	0.058036693
6.627882844	0.100540891
6.627910578	0.058085031
6.627947882	0.05813477
6.627982647	0.09775272
6.6279846	0.058185209
6.628020928	0.058237049
6.628056865	0.05828959
6.62808245	0.094922516
6.628092411	0.058342832
6.628127566	0.058397474
6.628161941	0.058452817
6.628181276	0.092069895
6.62819612	0.058508861
6.628229713	0.058566306
6.628254322	0.089929028
6.62826272	0.058625151
6.628295141	0.058684698
6.628302173	0.088505519
6.628326977	0.058744945
6.628349437	0.087088316
6.628358226	0.058806593
6.62838889	0.058868941
6.62839553	0.085680219
6.628418967	0.058932691
6.628425022	0.284493635
6.628440842	0.084284032
6.628448459	0.058997141
6.628477365	0.059062992
6.628484982	0.082901856
6.628505294	0.059129544
