KWebEntityId	English	Deutsch	Abbreviation	Weight-u	AtomRadius	Atomvol-ccm-mol	Unknown2	Radius-nm	Electronegativ	Density0°	MeltingPoint	BoilingPoint	HeatCapacity	HeatConduct	Enthalpy	FormEnergy-kj-mol	PeriodNo	GroupNo	Charge-e
21930	Germanium	Germanium	Ge	72.59	1.52	13.6	1.22	7.899	2	5.32	937.4	2830	0.32	0.599	36.94	330.9	4	14	32
21931	Arsenic	Arsen	As	74.9216	1.33	13.1	1.2	9.81	2.2	5.72	808	613	0.33	0.5	0	34.76	4	15	33
21932	Selenium	Selen	Se	78.96	1.22	16.45	1.16	9.752	2.5	4.8	217	684.9	0.32	0.0204	6.694	37.7	4	16	34
21933	Bromine	Brom	Br	79.904	1.12	23.5	1.14	11.814	3	3.12	-7.2	58.78	0.473	0.00122	5.286	15.438	4	17	35
21934	Krypton	Krypton	Kr	83.8	1.03	38.9	1.12	13.999	0	3.74	-156.6	-152	0.248	9.5E-05	1.638	9.029	4	18	36
21935	Rubidium	Rubidium	Rb	85.4678	2.98	55.9	2.16	4.177	0.8	1.53	38.89	688	0.363	0.582	2.192	72.216	5	1	37
21936	Strontium	Strontium	Sr	87.62	2.45	23.7	1.91	5.695	0.9	2.6	769	1384	0.3	0.353	8.3	144	5	2	38
21937	Yttrium	Yttrium	Y	88.9059	2.27	19.8	1.62	6.38	1.2	4.5	1523	3337	0.3	0.172	11.4	363	5	3	39
21938	Zirconium	Zirkonium	Zr	91.224	2.16	14.1	1.45	6.84	1.3	6.49	1852	4377	0.27	0.227	16.9	58.2	5	4	40
21939	Niobium	Niob	Nb	92.9064	2.08	10.87	1.34	6.88	1.6	8.55	2468	4742	0.26	0.537	26.4	682	5	5	41
21940	Molybdenum	Molybdaen	Mo	95.94	2.01	9.4	1.3	7.099	2.2	10.2	2617	4612	0.25	1.38	32	598	5	6	42
21941	Technetium	Technetium	Tc	98.9062	1.95	0	1.27	7.28	1.9	11.5	2172	4877	0.21	0.506	24	660	5	7	43
21942	Ruthenium	Ruthenium	Ru	101.07	1.89	8.3	1.25	7.37	2.2	12.2	2310	3000	0.238	1.17	24	595	5	8	44
21943	Rhodium	Rhodium	Rh	102.9055	1.83	8.3	1.25	7.46	2.3	12.4	1966	3727	0.242	1.5	21.5	493	5	9	45
21944	Palladium	Palladium	Pd	106.42	1.79	8.9	1.28	8.34	2.2	12	1552	3140	0.24	0.718	17.6	357	5	10	46
17799	Silver	Silber	Ag	107.868	1.75	10.3	1.34	7.576	1.9	10.5	961.93	2212	0.235	4.29	11.3	250.58	5	11	47
21945	Cadmium	Cadmium	Cd	112.41	1.71	13.1	1.48	8.993	1.7	8.65	320.9	765	0.23	0.968	6.192	99.57	5	12	48
21946	Indium	Indium	In	114.82	2	15.7	1.44	5.786	1.8	7.31	156.61	2080	0.23	0.816	3.263	231.5	5	13	49
3285	Tin	Zinn	Sn	118.71	1.72	16.3	1.41	7.344	2	7.3	231.97	2270	0.227	0.666	7.029	295.8	5	14	50
21947	Antimony	Antimon	Sb	121.75	1.53	18.23	1.4	8.641	2	6.68	630.74	1750	0.21	0.243	19.87	77.14	5	15	51
21948	Tellurium	Tellur	Te	127.6	1.42	20.5	1.36	9.009	2.1	6.24	449.5	989.8	0.2	0.0235	17.49	52.55	5	16	53
21949	Iodine	Iod	I	126.9045	1.32	25.74	1.33	10.451	2.7	4.92	113.5	184.35	0.214	0.00449	7.824	23.752	5	17	52
21950	Xenon	Xenon	Xe	131.29	1.24	37.3	1.31	12.13	0	5.89	-111.9	-107.1	0.158	5.7E-05	2.297	12.636	5	18	54
21951	Caesium	Caesium	Cs	132.905	3.34	71.07	2.35	3.894	0.8	1.87	28.4	678.4	0.24	0.359	2.092	67.74	6	1	55
21952	Barium	Barium	Ba	137.33	2.78	39.24	1.98	5.212	0.9	3.5	725	1640	0.204	0.184	7.75	142	6	2	56
21953	Lanthanum	Lanthan	La	138.9055	2.74	20.73	1.69	5.58	1.1	6.7	920	3454	0.19	0.135	6.2	414	6	3	57
21954	Cerium	Cer	Ce	140.12	2.7	20.67	1.65	5.54	1.1	6.78	798	3257	0.19	0.114	5.46	414	6	24	58
