Ln-nm	rel.Emission
5.758213107	0.161401518
5.758619545	0.162776261
5.759026765	0.164151003
5.75943457	0.165525041
5.759843156	0.166899079
5.760252524	0.168273116
5.760662672	0.16964645
5.761073602	0.171019783
5.761485314	0.172392411
5.761898001	0.17376504
5.76231147	0.175137668
5.762725916	0.176509592
5.763141338	0.177881516
5.763557737	0.179252735
5.763974917	0.180623954
5.764393269	0.181994469
5.764812597	0.183364983
5.765233097	0.184734793
5.765654574	0.186104603
5.766077222	0.187474413
5.766500847	0.188843518
5.766925644	0.190212624
5.767351809	0.191581024
5.767779144	0.19294872
5.768207457	0.194317121
5.768637332	0.195684112
5.769068379	0.197051104
5.769500598	0.198418095
5.769934379	0.199784382
5.770369332	0.201150669
5.770805652	0.202516251
5.771243535	0.203881833
5.771682784	0.20524671
5.772123401	0.206611588
5.772565581	0.207975761
5.773009128	0.209339933
5.773454432	0.210703402
5.773901104	0.21206687
5.774349338	0.213429633
5.774799329	0.214792397
5.775250688	0.216154456
5.775704	0.21751581
5.776158875	0.218877165
5.776615312	0.220238519
5.777073702	0.221599169
5.777533655	0.222959114
5.777995365	0.224319059
5.778459028	0.225678299
5.77892445	0.227037539
5.779391629	0.228396075
5.779860761	0.229754611
5.780331846	0.231112442
5.780804689	0.232469569
5.78127968	0.233826695
5.781756429	0.235183117
5.782235327	0.236539539
5.782595867	0.237556327
5.782836879	0.238234185
5.78307828	0.238911339
5.783320268	0.239589198
5.783562647	0.240266352
5.783805806	0.240944211
5.784049357	0.241621365
5.784293297	0.242298519
5.78453802	0.242975672
5.784783132	0.243652122
5.785028831	0.244329276
5.78527492	0.245005725
5.785521791	0.245682175
5.785769052	0.246358624
5.786016899	0.247035073
5.786265332	0.247711523
5.786514155	0.248387972
5.78676376	0.249063717
5.787013951	0.249739461
5.787264532	0.250415911
5.7875157	0.251091655
5.787767453	0.251766695
5.788019792	0.25244244
5.788272717	0.25311748
5.788526424	0.253793225
5.788780521	0.254468265
5.789035203	0.255143305
5.789290472	0.255818345
5.789546327	0.256493385
5.789802768	0.257167721
5.790059794	0.257842056
5.790317407	0.258517096
5.7905758	0.259191432
5.790834585	0.259865767
5.79109415	0.260539398
5.791354302	0.261213733
5.791615039	0.261887364
5.791876363	0.2625617
5.792138272	0.26323533
5.792400963	0.263908961
5.792664044	0.264581887
5.792927906	0.265255518
5.79319255	0.265928444
5.793457584	0.266601371
5.793723399	0.267275001
5.793989801	0.267947223
5.794256983	0.268620149
5.794524557	0.269293075
5.794793107	0.269965297
5.795062047	0.270637518
5.795331769	0.27130974
5.795602076	0.271981961
5.795873165	0.272654183
5.79614484	0.2733257
5.796417296	0.273997921
5.796690338	0.274669438
5.796963965	0.275340955
5.797238375	0.276012472
5.797513565	0.276683989
5.797789341	0.277354801
5.798065703	0.278025613
5.798343042	0.27869713
5.798620771	0.279367238
5.798899477	0.28003805
5.799178769	0.280708863
5.799458647	0.28137897
5.799739306	0.282049782
5.800020746	0.28271989
5.800302967	0.283389998
5.800585775	0.284059401
5.800869363	0.284729508
5.801153538	0.285398911
5.801438689	0.286068314
5.801724426	0.286737717
5.802010749	0.28740712
5.802298048	0.288076523
5.802585934	0.288745222
5.802874796	0.289414625
5.803164243	0.290083323
5.803454472	0.290752021
5.803745288	0.291420015
5.804037079	0.292088714
5.804329652	0.292756707
5.804622811	0.293424701
5.804916751	0.294092695
5.805211667	0.294760688
5.80550717	0.295428682
5.805803453	0.296095971
5.806100518	0.29676326
5.806398364	0.297430549
5.806697187	0.298097839
5.806996596	0.298765128
5.807296785	0.299431712
5.807597757	0.300099001
