Ln-nm	rel.Emission
9.060448387	0.753860518
9.060470066	0.753883066
9.060491746	0.75390491
9.06051362	0.753926049
9.0605353	0.753946483
9.06055737	0.753965508
9.060579244	0.753983829
9.060601314	0.754001445
9.060623384	0.754017651
9.060645649	0.754033858
9.060667719	0.754048655
9.06069018	0.754062043
9.060712445	0.754075431
9.060734905	0.75408741
9.060757366	0.754099389
9.060780022	0.754109958
9.060802482	0.754119119
9.060825138	0.754128279
9.060847989	0.75413603
9.06087084	0.754143076
9.060893692	0.754149418
9.060916543	0.75415435
9.060939589	0.754159283
9.060962636	0.754162806
9.060985682	0.754165624
9.061008924	0.754167738
9.061032166	0.754168443
9.061055407	0.754168443
9.061078844	0.754167738
9.061102282	0.754166329
9.061125719	0.754164215
9.061149351	0.754161397
9.061172983	0.754157169
9.061196616	0.754152236
9.061220443	0.754146599
9.061244076	0.754139553
9.061268099	0.754132507
9.061291927	0.754124051
9.06131595	0.754114891
9.061339973	0.754105026
9.061364191	0.754094456
9.061388214	0.754083182
9.061412432	0.754070499
9.061436846	0.754057111
9.061461259	0.754043018
9.061485673	0.754028221
9.061510087	0.754012719
9.0615345	0.753995807
9.061559109	0.753978896
9.061583913	0.753960576
9.061608522	0.753941551
9.061633327	0.753921116
9.061658131	0.753900682
9.06168313	0.753879543
9.06170813	0.753856994
9.061733129	0.753833741
9.061758129	0.753809784
9.061783324	0.753785122
9.061808519	0.753759755
9.061833714	0.753732979
9.061859104	0.753705498
9.061897189	0.75366322
9.061948165	0.753604031
9.061999336	0.753541318
9.062050897	0.753475787
9.062102459	0.753406733
9.062154411	0.75333486
9.062206558	0.753259464
9.062259096	0.75318125
9.062311635	0.753099512
9.062364563	0.753014251
9.062417687	0.752926172
9.062471007	0.752835274
9.062524521	0.752740853
9.062578231	0.752643613
9.062632332	0.752543555
9.062686628	0.752439974
9.062740924	0.752332869
9.06279561	0.752222946
9.062850687	0.752110205
9.062905764	0.751994645
9.062961037	0.751875562
9.0630167	0.75175366
9.063072558	0.751628235
9.063128612	0.751500696
9.063184861	0.751369634
9.063241305	0.751235049
9.063297945	0.751098349
9.063354975	0.750958127
9.063412005	0.750815086
9.063469426	0.750669227
9.063526847	0.750519844
9.063584658	0.750368348
9.063642665	0.750213328
9.063700867	0.75005549
9.063759264	0.749894833
9.063818052	0.749731358
9.06387684	0.749565064
9.063935824	0.749395247
9.063995198	0.749223316
9.064054572	0.749047862
9.064114336	0.748870294
9.064174296	0.748689203
9.064234256	0.748505998
9.064294606	0.74831927
9.064355152	0.748129723
9.064415893	0.747937358
9.06447683	0.747742879
9.064537961	0.747544876
9.064599288	0.74734476
9.064660811	0.747141121
9.064722724	0.746935367
9.064784636	0.746726091
9.064846745	0.7465147
9.064909048	0.746300491
9.064971742	0.746083464
9.065034437	0.745863618
9.065097326	0.745640953
9.065160606	0.745416175
9.065223886	0.745188578
9.065319197	0.744841193
9.065447124	0.744369792
9.065575833	0.743887822
9.065705128	0.743394578
9.065835399	0.742891469
9.065966256	0.742378495
9.066097894	0.741854246
9.066230509	0.741320133
9.066363514	0.740776155
9.066497496	0.740222312
9.066632064	0.739658604
9.066767608	0.739084327
9.066903543	0.73850089
9.067040455	0.737906883
9.067177952	0.737303715
9.067316036	0.736691388
9.067455096	0.736069195
9.067594546	0.735437842
9.067734973	0.734796625
9.067875791	0.734146247
9.068017586	0.733486709
9.06815977	0.732818715
9.068302737	0.732140856
9.068446289	0.731454542
9.068590622	0.730759068
9.068735541	0.730055138
9.068881046	0.729342047
9.069027333	0.728620501
9.069174205	0.7278905
9.069321663	0.727152043
9.069469708	0.726404425
9.069618338	0.725649057
9.069692946	0.725268554
9.073913572	0.714097275
9.078134394	0.702925996
9.085637773	0.704645304
9.085698319	0.712057357
9.085818043	0.726880758
9.08593601	0.741703454
9.086053	0.756526855
9.086226825	0.778762309
9.086400454	0.800997058
