id	FileName	label	description
71229	Potala_Palace,71229	Potala_Palace	Fortress in Lhasa, Tibet
71243	Clark_Gable,71243	Clark_Gable	American actor (1901–1960)
79602	Cyclone,79602	cyclone	large scale air mass that rotates around a strong center of low pressure
79751	Oligarchy,79751	oligarchy	power structure in which power rests with a small number of people
79757	Barometer,79757	barometer	scientific instrument used to measure atmospheric pressure
79785	Electrocardiography,79785	electrocardiography	method to record the electrical activity of the heart through passive electrodes placed over the skin.
79791	Reconquista,79791	Reconquista	period in the history of the Iberian Peninsula
79789	Frédéric_Barberousse,79789	Frédéric_Barberousse	Holy Roman Emperor from 1155 to 1190
81454	Ångström,81454	ångström	unit of length; equals 0.1 nanometre
81506	Charles_I_of_England,81506	Charles_I_of_England	monarch of the three kingdoms of England, Scotland, and Ireland (1600-1649)
81513	Citrus,81513	Citrus	genus of fruit-bearing plants (source of fruit such as lemons and oranges)
68060	Gianluigi_Buffon,68060	Gianluigi_Buffon	former Italian footballer (born 1978)
68750	Mexican_War_of_Independence,68750	Mexican_War_of_Independence	armed conflict which ended the rule of Spain in the territory of New Spain
83155	Jacques-Louis_David,83155	Jacques-Louis_David	French painter (1748–1825)
83158	Jean_Cocteau,83158	Jean_Cocteau	French writer and filmmaker (1889–1963)
83159	Clement_VII,83159	Clement_VII	pope of the Catholic Church from 1523 to 1534
83171	Alexander_II_of_Russia,83171	Alexander_II_of_Russia	Emperor of Russia (1818–1881)
83169	Hydrosphere,83169	hydrosphere	combined mass of water found on, under, and above the surface of a planet, minor planet or natural satellite
83180	Roof,83180	roof	top covering of a building
83186	Romeo_and_Juliet,83186	Romeo_and_Juliet	tragedy by William Shakespeare
93190	Divorce,93190	divorce	termination of a marital union
93191	Baptists,93191	Baptists	evangelical Christian movement
92862	Jaron_Lanier,92862	Jaron_Lanier	American computer scientist, musician, and author
93128	William_Harvey,93128	William_Harvey	English physician (1578–1657)
93165	Olive_oil,93165	olive_oil	liquid fat extracted by pressing olives
93172	Gaia,93172	Gaia	Greek primordial deity, the personification of the Earth
83163	Srinivasa_Ramanujan,83163	Srinivasa_Ramanujan	Indian mathematician (1887–1920)
83164	East_India_Company,83164	East_India_Company	British trading company (1600–1874)
93267	Isthmus,93267	isthmus	narrow strip of land connecting two larger land areas
93284	Marc_Chagall,93284	Marc_Chagall	Russian-French artist (1887–1985)
93288	Contract,93288	contract	agreement having a lawful object entered into voluntarily by multiple parties (may be explicitly written or oral)
79911	Russian_Civil_War,79911	Russian_Civil_War	multi-sided civil war in the former Russian Empire, November 1917-October 1922
79925	Dark_matter,79925	dark_matter	mysterious non-luminous matter (and/or radiation) comprising most of the matter in our observable universe
79932	Pollen,79932	pollen	fine to coarse powder containing the microgametophytes of seed plants
79961	Christ_the_Redeemer,79961	Christ_the_Redeemer	Monument located on Corcovado Hill in Rio de Janeiro, Brazil
84423	Martin_Buber,84423	Martin_Buber	German Jewish Existentialist philosopher and theologian (1878–1965)
85125	Population_transfer_in_the_Soviet_Union,85125	population_transfer_in_the_Soviet_Union	transfer and deportation of people in the Soviet Union
85377	Canadian_Arctic_Archipelago,85377	Canadian_Arctic_Archipelago	archipelago in northern North America
85642	John_Cabot,85642	John_Cabot	Italian navigator and explorer (c. 1450 – c. 1499)
86394	Astronomical_coordinate_systems,86394	Astronomical_coordinate_systems	spherical coordinate systems
93208	Emu,93208	emu	species of bird
93227	Nikolai_Rimsky-Korsakov,93227	Nikolai_Rimsky-Korsakov	Russian composer
93259	Lesser_Antilles,93259	Lesser_Antilles	island arc in the Caribbean Sea
83296	Lithosphere,83296	lithosphere	rigid, outermost shell of a terrestrial-type planet or natural satellite that is defined by its rigid mechanical properties
83303	Fortran,83303	Fortran	general-purpose programming language
83219	Kepler's_laws_of_planetary_motion,83219	Kepler's_laws_of_planetary_motion	scientific laws describing motion of planets around the Sun
83222	Mesozoic,83222	Mesozoic	second era of the Phanerozoic eon
83224	Battle_of_Hastings,83224	Battle_of_Hastings	battle which occurred on 14 October 1066
83233	Jacques_Cousteau,83233	Jacques_Cousteau	French Naval Officer who co-invented open circuit demand scuba
79872	Object-oriented_programming,79872	object-oriented_programming	programming paradigm based on the concept of objects
79876	Isis,79876	Isis	Egyptian deity
79883	Strait_of_Hormuz,79883	Strait_of_Hormuz	strait between the Gulf of Oman and the Persian Gulf
79838	Accordion,79838	accordion	musical instrument
79852	Ecliptic,79852	ecliptic	apparent path of the Sun on the celestial sphere
79871	Anger,79871	anger	intense emotional state that sometimes results in combative and destructive actions
93301	Locomotive,93301	locomotive	railway vehicle that provides the motive power for a train
93304	Code_of_Hammurabi,93304	Code_of_Hammurabi	Babylonian code of law or conduct
93318	Nautical_mile,93318	nautical_mile	unit of distance (1852 m)
78994	Napoleonic_Wars,78994	Napoleonic_Wars	1803–1815 wars involving the French Empire
79007	Street,79007	street	public thoroughfare in a built environment
100159	Euthanasia,100159	euthanasia	medical practice of intentionally ending a life in order to relieve pain and suffering
100196	Archaeopteryx,100196	Archaeopteryx	genus of early bird-like dinosaur
71275	Spencer_Tracy,71275	Spencer_Tracy	American actor (1900–1967)
71516	Dromedary,71516	dromedary	largest living camelid
71684	Ishvara,71684	Ishvara	Supreme soul, ruler, lord, king, queen or husband in Indian texts
72154	Amundsen_Sea,72154	Amundsen_Sea	part of the Southern Ocean
75520	Plateau,75520	plateau	high flat terrain
75612	Isaac_Bashevis_Singer,75612	Isaac_Bashevis_Singer	Polish-American author
75613	Almoravid_dynasty,75613	Almoravid_dynasty	Berber dynasty that once ruled over Al-Andalus and Maghreb
81982	Harpsichord,81982	harpsichord	plucked-string keyboard instrument
81989	Gabriel,81989	Gabriel	angel in Abrahamic religions
82001	Ivory,82001	ivory	material derived from the tusks and teeth of animals
83338	Robin_Williams,83338	Robin_Williams	American actor and comedian (1951–2014)
83341	Liquid-crystal_display,83341	liquid-crystal_display	display that uses the light-modulating properties of liquid crystals
83345	Circumcision,83345	circumcision	removal of the foreskin from the human penis
83188	Relativism,83188	relativism	philosophical view rejecting universalism about truth
83193	Lettuce,83193	lettuce	plant series
83197	Antimatter,83197	antimatter	substance made of the distinct antiparticles of common matter particles
81299	Organization_for_Security_and_Co-operation_in_Europe,81299	Organization_for_Security_and_Co-operation_in_Europe	security-oriented intergovernmental organization
81307	Greenpeace,81307	Greenpeace	non-governmental environmental organization
81365	Decimal,81365	decimal	numeral system with ten as its base
81895	Spoon,81895	spoon	utensil consisting of a small shallow bowl, oval or round, at the end of a handle
81900	Teuthida,81900	Teuthida	order of mollusks
81915	Allotropy,81915	allotropy	property of some chemical elements to exist in two or more different forms
81931	Confederate_States,81931	Confederate_States	former country in North America formed by the Southern United States during the American Civil War (1861-1865)
81392	Fractal,81392	fractal	mathematical set of non-integral dimension
81406	Alkene,81406	alkene	unsaturated chemical compound containing one carbon-to-carbon double bond
81414	Internet_protocol_suite,81414	Internet_protocol_suite	framework for communication protocols used in IP networking
81422	Noah,81422	Noah	Biblical figure, Son of Lamech, Major figure in the Book of Genesis, Prophet in the Bible
83309	Johann_Strauss_II,83309	Johann_Strauss_II	Austrian composer (1825-1899)
83318	Bab-el-Mandeb,83318	Bab-el-Mandeb	strait located between Yemen on the Arabian Peninsula, and Djibouti and Eritrea in the Horn of Africa
